codigo_ibge,municipio,populacao,ano
1702901,AXIXÁ DO TOCANTINS - TO,10732,2025
1703008,BABAÇULÂNDIA - TO,7636,2025
1703057,BANDEIRANTES DO TOCANTINS - TO,3555,2025
1703073,BARRA DO OURO - TO,4667,2025
1703107,BARROLÂNDIA - TO,4890,2025
1703206,BERNARDO SAYÃO - TO,4307,2025
1703305,BOM JESUS DO TOCANTINS - TO,4201,2025
1703602,BRASILÂNDIA DO TOCANTINS - TO,2013,2025
1703701,BREJINHO DE NAZARÉ - TO,4774,2025
1703800,BURITI DO TOCANTINS - TO,10696,2025
1703826,CACHOEIRINHA - TO,1982,2025
1703842,CAMPOS LINDOS - TO,8990,2025
1703867,CARIRI DO TOCANTINS - TO,4166,2025
1703883,CARMOLÂNDIA - TO,2242,2025
1703891,CARRASCO BONITO - TO,3344,2025
1703909,CASEARA - TO,5028,2025
1704105,CENTENÁRIO - TO,2111,2025
1704600,CHAPADA DE AREIA - TO,1574,2025
1705102,CHAPADA DA NATIVIDADE - TO,3176,2025
1705508,COLINAS DO TOCANTINS - TO,36209,2025
1705557,COMBINADO - TO,4906,2025
1705607,CONCEIÇÃO DO TOCANTINS - TO,3942,2025
1706001,COUTO MAGALHÃES - TO,5540,2025
1706100,CRISTALÂNDIA - TO,6392,2025
1706258,CRIXÁS DO TOCANTINS - TO,1494,2025
1706506,DARCINÓPOLIS - TO,6093,2025
1707009,DIANÓPOLIS - TO,17966,2025
1707108,DIVINÓPOLIS DO TOCANTINS - TO,7343,2025
1707207,DOIS IRMÃOS DO TOCANTINS - TO,6352,2025
1707306,DUERÉ - TO,4304,2025
1707405,ESPERANTINA - TO,7385,2025
1707553,FÁTIMA - TO,3503,2025
1707652,FIGUEIRÓPOLIS - TO,5334,2025
1707702,FILADÉLFIA - TO,7784,2025
1708205,FORMOSO DO ARAGUAIA - TO,19473,2025
1708254,TABOCÃO - TO,3741,2025
1708304,GOIANORTE - TO,4832,2025
1709005,GOIATINS - TO,12851,2025
1709302,GUARAÍ - TO,25831,2025
1709500,GURUPI - TO,90209,2025
1709807,IPUEIRAS - TO,1626,2025
1710508,ITACAJÁ - TO,6959,2025
1710706,ITAGUATINS - TO,5160,2025
1710904,ITAPIRATINS - TO,3685,2025
1711100,ITAPORÃ DO TOCANTINS - TO,2464,2025
1711506,JAÚ DO TOCANTINS - TO,3396,2025
1711803,JUARINA - TO,2308,2025
1711902,LAGOA DA CONFUSÃO - TO,16629,2025
1711951,LAGOA DO TOCANTINS - TO,3613,2025
1712009,LAJEADO - TO,3559,2025
1712157,LAVANDEIRA - TO,1676,2025
1712405,LIZARDA - TO,2950,2025
1712454,LUZINÓPOLIS - TO,2811,2025
1712504,MARIANÓPOLIS DO TOCANTINS - TO,4793,2025
1712702,MATEIROS - TO,2922,2025
1712801,MAURILÂNDIA DO TOCANTINS - TO,3171,2025
1713205,MIRACEMA DO TOCANTINS - TO,18679,2025
1713304,MIRANORTE - TO,13073,2025
1713601,MONTE DO CARMO - TO,5667,2025
1713700,MONTE SANTO DO TOCANTINS - TO,2521,2025
1713809,PALMEIRAS DO TOCANTINS - TO,4850,2025
1713957,MURICILÂNDIA - TO,3501,2025
1714203,NATIVIDADE - TO,8956,2025
1714302,NAZARÉ - TO,4672,2025
1714880,NOVA OLINDA - TO,10600,2025
1715002,NOVA ROSALÂNDIA - TO,3382,2025
1715101,NOVO ACORDO - TO,4118,2025
1715150,NOVO ALEGRE - TO,1817,2025
1715259,NOVO JARDIM - TO,2251,2025
1715507,OLIVEIRA DE FÁTIMA - TO,1220,2025
1715705,PALMEIRANTE - TO,4905,2025
1715754,PALMEIRÓPOLIS - TO,7104,2025
1716109,PARAÍSO DO TOCANTINS - TO,55704,2025
1716208,PARANÃ - TO,10877,2025
1716307,PAU D'ARCO - TO,4057,2025
1716505,PEDRO AFONSO - TO,14895,2025
1716604,PEIXE - TO,9384,2025
1716653,PEQUIZEIRO - TO,5035,2025
1716703,COLMÉIA - TO,9155,2025
1717008,PINDORAMA DO TOCANTINS - TO,4599,2025
1717206,PIRAQUÊ - TO,2229,2025
1717503,PIUM - TO,7408,2025
1717800,PONTE ALTA DO BOM JESUS - TO,4280,2025
1717909,PONTE ALTA DO TOCANTINS - TO,7874,2025
1718006,PORTO ALEGRE DO TOCANTINS - TO,2960,2025
1718204,PORTO NACIONAL - TO,69551,2025
1718303,PRAIA NORTE - TO,9552,2025
1718402,PRESIDENTE KENNEDY - TO,3016,2025
1718451,PUGMIL - TO,2223,2025
1718501,RECURSOLÂNDIA - TO,3454,2025
1718550,RIACHINHO - TO,4029,2025
1718659,RIO DA CONCEIÇÃO - TO,1827,2025
1718709,RIO DOS BOIS - TO,2845,2025
1718758,RIO SONO - TO,4718,2025
1718808,SAMPAIO - TO,4397,2025
1718840,SANDOLÂNDIA - TO,3900,2025
1718865,SANTA FÉ DO ARAGUAIA - TO,7533,2025
1718881,SANTA MARIA DO TOCANTINS - TO,2716,2025
1718899,SANTA RITA DO TOCANTINS - TO,2299,2025
1718907,SANTA ROSA DO TOCANTINS - TO,4799,2025
1719004,SANTA TEREZA DO TOCANTINS - TO,2907,2025
1720002,SANTA TEREZINHA DO TOCANTINS - TO,2461,2025
1720101,SÃO BENTO DO TOCANTINS - TO,6004,2025
1720150,SÃO FÉLIX DO TOCANTINS - TO,1897,2025
1720200,SÃO MIGUEL DO TOCANTINS - TO,14116,2025
1720259,SÃO SALVADOR DO TOCANTINS - TO,2356,2025
1720309,SÃO SEBASTIÃO DO TOCANTINS - TO,4182,2025
1720499,SÃO VALÉRIO - TO,4554,2025
1720655,SILVANÓPOLIS - TO,5259,2025
1720804,SÍTIO NOVO DO TOCANTINS - TO,11446,2025
1720853,SUCUPIRA - TO,1591,2025
1720903,TAGUATINGA - TO,14199,2025
1720937,TAIPAS DO TOCANTINS - TO,2092,2025
1720978,TALISMÃ - TO,2505,2025
1721000,PALMAS - TO,328499,2025
1721109,TOCANTÍNIA - TO,7802,2025
1721208,TOCANTINÓPOLIS - TO,23225,2025
1721257,TUPIRAMA - TO,2024,2025
1721307,TUPIRATINS - TO,1886,2025
1722081,WANDERLÂNDIA - TO,10734,2025
1722107,XAMBIOÁ - TO,10636,2025
2100055,AÇAILÂNDIA - MA,110611,2025
2100105,AFONSO CUNHA - MA,6303,2025
2100154,ÁGUA DOCE DO MARANHÃO - MA,12461,2025
2100204,ALCÂNTARA - MA,18721,2025
2100303,ALDEIAS ALTAS - MA,23776,2025
2100402,ALTAMIRA DO MARANHÃO - MA,6549,2025
2100436,ALTO ALEGRE DO MARANHÃO - MA,24528,2025
2100477,ALTO ALEGRE DO PINDARÉ - MA,26321,2025
2100501,ALTO PARNAÍBA - MA,11392,2025
2100550,AMAPÁ DO MARANHÃO - MA,7380,2025
2100600,AMARANTE DO MARANHÃO - MA,38335,2025
2100709,ANAJATUBA - MA,26250,2025
